LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,'default payment next month'
0.070707,1,0.333333,0.333333,0.12069,0.2,0.2,0.2,0.2,0.2,0.2,0.215414,0.142145,0.131377,0.229754,0.155569,0.205131,0.004579,0.002375,0.003348,0.004831,0.007034,0.005675,0
0.090909,0,0.333333,0.666667,0.137931,0.3,0.1,0.1,0.1,0.2,0.1,0.146519,0.070573,0.087704,0.167528,0.093701,0.136277,0.00525,0.0017,0.008755,0.011272,0.001573,0.001269,0
0.10101,1,0.333333,0.666667,0.12069,0.4,0.4,0.4,0.4,0.4,0.4,0.223304,0.150401,0.135569,0.245475,0.168922,0.220617,0.004808,0.001959,0.003683,0,0.016412,0.004351,1
0.494949,1,0.333333,0.666667,0.137931,0,0,0,0,0,0,0.148413,0.06994,0.088306,0.162727,0.08277,0.138468,0.004486,0.002234,0.003068,0.003446,0.007289,0.004048,0
0.272727,0,0.166667,0.666667,0.241379,0.3,0,0,0.1,0.1,0,0.146517,0.066599,0.086445,0.164293,0.081616,0.140139,0.000459,0.000109,0.004943,0.00158,0.011704,0.008544,0
0.010101,0,0.333333,0.666667,0.12069,0.2,0.2,0.2,0.4,0.2,0.2,0.156187,0.078462,0.096444,0.175969,0.116414,0.152982,0.002862,0.005344,0,0.003221,0.004689,0.002837,0
0.292929,1,0.166667,0.333333,0.258621,0.1,0.1,0,0,0,0,0.153939,0.066195,0.08633,0.160112,0.080621,0.13565,0.000031,0,0,0,0,0,0
0,0,0.5,0.666667,0.224138,0.2,0.2,0.2,0.2,0.2,0.2,0.152859,0.074427,0.091422,0.169022,0.089417,0.14383,0.00229,0.000677,0.000363,0.000533,0.000912,0.001892,0
0.171717,1,0.5,0.333333,0.344828,0.4,0.4,0.4,0.4,0.2,0.2,0.23155,0.161213,0.14191,0.253093,0.180443,0.228024,0.007441,0.002127,0,0.005805,0.008747,0.007097,1
0.212121,0,0.166667,0.333333,0.310345,0.1,0.1,0.2,0.1,0.1,0.1,0.147293,0.067258,0.088306,0.167043,0.080648,0.139264,0.001251,0.001495,0.008269,0,0.009366,0.003836,1
0.20202,1,0.333333,0.666667,0.051724,0,0,0,0.1,0.1,0.1,0.14738,0.070204,0.087318,0.167008,0.082143,0.137919,0.004835,0.001562,0.009075,0.002517,0.005875,0.004038,0
0.030303,0,0.333333,1,0.344828,0.2,0.2,0.2,0.2,0.2,0.2,0.181291,0.102749,0.107331,0.195711,0.118356,0.164596,0.002045,0.001122,0.002232,0.001778,0.002223,0.000637,0
0.090909,1,0.5,0.333333,0.310345,0,0,0,0,0,0,0.148192,0.089097,0.115039,0.169482,0.089208,0.18359,0.027594,0.031042,0.011071,0.013902,0.12499,0.00868,0
0.040404,0,0.333333,0.666667,0.258621,0.4,0.4,0.4,0.4,0.4,0.4,0.175631,0.09856,0.105299,0.191853,0.115673,0.168558,0.00229,0.000772,0,0.003543,0.004689,0.002837,1
0.444444,1,0.333333,0.666667,0.310345,0.1,0.2,0.2,0.2,0.2,0.1,0.338651,0.107643,0.108211,0.201564,0.081034,0.136023,0.011824,0.001782,0.005822,0.000002,0.000914,0.000738,0
0.020202,0,0.333333,0.666667,0.172414,0.1,0.1,0.1,0.1,0.1,0.2,0.152828,0.068725,0.087129,0.162636,0.09278,0.143029,0.003038,0.000853,0.003184,0.019721,0.000279,0,0
0.393939,0,0.166667,0.666667,0.172414,0.2,0.2,0.2,0.2,0.4,0.2,0.248729,0.183527,0.163682,0.308153,0.20573,0.239509,0.011448,0.01188,0.022483,0.00011,0.011978,0.009617,0
0.010101,1,0.333333,0.333333,0.327586,0.4,0.4,0.6,0.5,0.4,0.2,0.162236,0.086294,0.097604,0.178914,0.1,0.153861,0.004579,0,0,0,0.002345,0.005675,0
0.252525,1,0.333333,0.333333,0.327586,0.1,0.1,0.1,0.1,0.1,0.2,0.146883,0.066419,0.086464,0.160715,0.082967,0.136999,0.000239,0.000129,0.000684,0.003767,0,0.002372,0
0.272727,1,0.166667,0.333333,0.344828,0.2,0.2,0.2,0.2,0.2,0.2,0.23199,0.160891,0.130951,0.23662,0.162423,0.18028,0.005724,0.001781,0.003356,0.008052,0.004689,0.003216,0
0.131313,0,0.333333,0.666667,0.258621,0.2,0.2,0.2,0.2,0.2,0.2,0.230217,0.154188,0.134493,0.235764,0.160059,0.209157,0.004028,0.001797,0.003242,0.004831,0.007034,0.005864,0
0,0,0.333333,0.666667,0.155172,0.2,0.1,0.2,0.1,0.1,0.1,0.147823,0.069291,0.088975,0.160505,0.080648,0.136375,0.003704,0.001187,0.000435,0,0.001829,0,1
0.040404,0,0.5,0.333333,0.37931,0.2,0.2,0.2,0.2,0.2,0.2,0.17096,0.093669,0.102791,0.189025,0.111659,0.164381,0.002023,0.001068,0.001685,0.001802,0.002741,0.003783,1
0.131313,0,0.333333,0.666667,0.224138,0.2,0.2,0.2,0.2,0.2,0.2,0.26006,0.179235,0.120891,0.216842,0.139086,0.188391,0.005724,0.001306,0.002567,0.003704,0.004923,0.003783,0
0.020202,1,0.333333,0.333333,0.068966,0.2,0.2,0.2,0.2,0.2,0.2,0.163117,0.08465,0.096964,0.171874,0.092789,0.146055,0.001689,0.000594,0.000278,0.000966,0.000471,0,0
0.353535,0,0.333333,0.333333,0.103448,0.5,0.4,0.4,0.2,0.2,0.2,0.363435,0.298337,0.172458,0.220294,0.144542,0.143623,0.009158,0,0.003013,0.004831,0.002345,0.002028,1
0.292929,0,0.166667,0.333333,0.396552,0.2,0.2,0.2,0.2,0.2,0.2,0.197964,0.115057,0.113652,0.205367,0.116348,0.141739,0.003434,0.001187,0.001674,0.004831,0.002345,0.005675,0
0.161616,0,0.333333,0.666667,0.103448,0.1,0.4,0.4,0,0,0,0.147554,0.066961,0.086345,0.160138,0.080648,0.135674,0,0,0,0,0,0,0
0.313131,1,0.166667,0.333333,0.413793,0.3,0,0,0.1,0.1,0.1,0.146519,0.06622,0.086345,0.160486,0.089871,0.135674,0,0,0.000413,0.014977,0,0,0
0.040404,0,0.333333,0.666667,0.224138,0.2,0.2,0.1,0.1,0,0,0.150206,0.06622,0.088632,0.160138,0.080648,0.135674,0,0.002473,0,0,0,0,0
0.171717,1,0.166667,0.333333,0.241379,0.2,0.2,0.2,0.2,0.2,0.2,0.188642,0.112443,0.113874,0.217229,0.148051,0.15402,0.006531,0.001783,0.011838,0.012844,0.012688,0.004653,0
0.191919,1,0.333333,0.333333,0.137931,0.2,0.2,0.2,0.2,0.2,0.2,0.211735,0.136092,0.126934,0.228017,0.152431,0.201257,0.003782,0.002265,0.003353,0.004841,0.009406,0.005697,0
0.040404,1,0.333333,0.666667,0.034483,0.2,0.2,0.2,0.2,0.1,0.4,0.1608,0.082602,0.094226,0.168345,0.082414,0.137125,0.001603,0.000594,0.000558,0.002868,0,0,0
0.090909,1,0.333333,0.333333,0.293103,0.3,0.4,0.2,0.2,0.2,0.2,0.205328,0.107911,0.100489,0.18637,0.146624,0.187359,0,0.001009,0.003348,0.064412,0.005861,0.004842,0
0.232323,1,0.166667,0.666667,0.12069,0.2,0.2,0.2,0.2,0.2,0.2,0.264412,0.195838,0.162816,0.284939,0.187179,0.233854,0.006296,0.00299,0.004464,0.009984,0.012895,0.009458,0
0.191919,0,0.166667,0.666667,0.155172,0.4,0.6,0.6,0.6,0.6,0.6,0.30017,0.233824,0.185037,0.332298,0.263662,0.301131,0.008368,0.004429,0.008334,0.010105,0.007034,0,0
0.040404,1,0.5,0.666667,0.448276,0.2,0.2,0.2,0.2,0.2,0.2,0.157103,0.079753,0.095145,0.176867,0.099946,0.155574,0.002862,0.001187,0.002232,0.003221,0.007034,0.005675,0
0.020202,1,0.333333,0.666667,0.034483,0.4,0.2,0.2,0.2,0.2,0.2,0.165707,0.088065,0.099868,0.183511,0.105767,0.158962,0.00229,0.001187,0.000991,0.001481,0.002345,0.003783,0
0.040404,1,0.5,0.666667,0.017241,0.4,0.4,0.4,0.2,0.2,0.2,0.168401,0.087781,0.096451,0.178346,0.100044,0.153483,0.00189,0,0.001756,0.001295,0.001583,0.001396,0
0.050505,1,0.5,0.333333,0.327586,0.3,0.1,0.2,0.2,0.1,0.2,0.147182,0.108825,0.105458,0.174991,0.106345,0.158195,0.069023,0.001781,0.00337,0.041731,0.003517,0.003783,1
0.232323,1,0.333333,0.666667,0.258621,0.1,0.1,0.1,0.1,0,0,0.14999,0.069017,0.086508,0.160138,0.080648,0.135674,0.003374,0.000176,0,0,0,0,1
0.191919,1,0.166667,0.333333,0.224138,0.3,0,0,0,0,0,0.146519,0.06622,0.086345,0.160138,0.080648,0.135674,0,0,0,0,0,0,1
0.010101,1,0.333333,0.666667,0.12069,0.2,0.2,0.2,0.2,0.2,0.2,0.156092,0.07755,0.093454,0.172696,0.094151,0.148813,0.001488,0.000723,0.00067,0.000805,0.002884,0,0
0.040404,1,0.333333,0.333333,0.189655,0,0,0,0,0,0,0.147354,0.06622,0.086345,0.160138,0.101124,0.135674,0.012052,0,0,0.033253,0,0,0
0.161616,0,0.5,0.666667,0.155172,0.2,0.1,0.2,0.2,0.2,0.2,0.155715,0.225741,0.179108,0.312128,0.205782,0.247793,0.192428,0.003805,0.008186,0.007163,0.010595,0.009463,0
0.20202,1,0.166667,0.333333,0.241379,0,0,0,0,0,0,0.148307,0.070069,0.086345,0.160138,0.080648,0.135674,0.004642,0,0,0,0,0.000284,0
0.010101,0,0.333333,0.333333,0.551724,0,0,0,0,0,0,0.177861,0.095825,0.101086,0.18186,0.103514,0.135558,0,0,0,0,0.000302,0.034318,0
0.090909,1,0.333333,0.333333,0.344828,0.1,0.1,0.1,0.1,0.1,0.1,0.14793,0.070597,0.087496,0.163429,0.082716,0.137812,0.00528,0.001246,0.003899,0.003359,0.005578,0.006089,0
0.040404,1,0.5,0.333333,0.051724,0.2,0.2,0.2,0.2,0.2,0,0.170563,0.092867,0.097965,0.161565,0.080648,0.135674,0.001591,0.00098,0.001116,0,0,0,0
0.040404,0,0.333333,0.666667,0.086207,0.2,0.2,0.2,0.2,0.2,0.2,0.191836,0.113828,0.097223,0.179175,0.100603,0.15276,0.00229,0.000769,0.000772,0.001142,0.001636,0.001892,0
0.242424,1,0.166667,0.333333,0.362069,0.2,0.2,0,0,0,0,0.168905,0.06622,0.086345,0.160138,0.080648,0.135674,0,0,0,0,0,0,0
0.161616,0,0.333333,0.333333,0.534483,0.5,0.4,0.4,0,0.1,0.1,0.148452,0.068109,0.086345,0.160138,0.08457,0.136822,0,0,0,0.006369,0.002996,0.002489,0
0.40404,0,0.333333,0.333333,0.275862,0,0,0,0,0,0,0.150359,0.067829,0.095737,0.169181,0.082683,0.139115,0.002078,0.010156,0.010714,0.003304,0.008977,0.006431,0
0.010101,0,0.5,0.666667,0.655172,0.4,0.4,0.4,0.4,0.6,0.5,0.160993,0.084322,0.096492,0.179287,0.100099,0.153023,0.003434,0,0.002567,0,0,0,1
0.020202,1,0.5,0.333333,0.137931,0.2,0.2,0.4,0.4,0.4,0.4,0.155772,0.078713,0.0933,0.174303,0.095028,0.149606,0.003663,0,0.003242,0,0.003249,0,1
0.393939,1,0.166667,0.666667,0.103448,0.1,0.1,0.1,0.1,0.1,0.1,0.1489,0.066625,0.086578,0.186444,0.080648,0.13606,0.000488,0.000253,0.031166,0.044283,0.001008,0.006628,0
0.010101,0,0.166667,0.666667,0.051724,0.4,0.4,0.2,0.2,0.4,0.4,0.162623,0.082945,0.096401,0.17853,0.099571,0.153291,0,0.000772,0.001674,0,0.003751,0,0
0.171717,1,0.5,0.333333,0.37931,0.3,0.1,0.1,0.1,0.1,0.1,0.146519,0.06869,0.086618,0.160607,0.082468,0.145863,0.002979,0.000296,0.000556,0.002955,0.023445,0.000719,1
0.20202,0,0.5,0.333333,0.137931,0.3,0.4,0.2,0.2,0.2,0.2,0.322178,0.25037,0.19582,0.34339,0.274985,0.31016,0,0.005937,0.007812,0.012882,0.018756,0.013619,0
0.040404,1,0.5,0.333333,0.241379,0.2,0.2,0.2,0.2,0.2,0.2,0.189727,0.113472,0.097175,0.179047,0.100599,0.150972,0.002342,0.001781,0.001674,0.00161,0.003751,0.002837,0
0.525253,1,0.5,0.333333,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.341091,0.278353,0.199773,0.419982,0.242429,0.283827,0.011448,0.005937,0.01116,0.011272,0.016412,0.009458,0
0.191919,0,0.333333,0.333333,0.344828,0.2,0.2,0.2,0.2,0.2,0.2,0.192529,0.115989,0.11186,0.206005,0.130793,0.182191,0.004579,0.001187,0.003348,0.004831,0.004689,0.003783,1
0.242424,0,0.333333,0.333333,0.258621,0.2,0.2,0.2,0.2,0.2,0.2,0.295975,0.231806,0.172593,0.288989,0.218858,0.246176,0.011448,0.004928,0.005803,0.008857,0.011723,0.009458,0
0.222222,1,0.166667,0.333333,0.37931,0.1,0.1,0.1,0.1,0.1,0.5,0.149391,0.067981,0.089516,0.161392,0.085945,0.138516,0.002137,0.003453,0.001495,0.008602,0.000009,0,1
0.212121,0,0.166667,0.666667,0.051724,0.2,0.2,0.2,0.1,0.1,0.1,0.239969,0.169586,0.147574,0.167959,0.080648,0.212638,0.005724,0.002998,0.009266,0,0.200765,0,0
0.292929,1,0.166667,0.666667,0.189655,0,0,0,0,0,0,0.146517,0.066218,0.086343,0.160448,0.080648,0.135674,0,0,0.000371,0,0,0,0
0.20202,1,0.166667,0.333333,0.310345,0.2,0.2,0.2,0.2,0.2,0.2,0.178056,0.106166,0.101581,0.188791,0.103633,0.197548,0.011448,0.000815,0.00558,0.0021,0.14067,0.005675,0
0.070707,0,0.166667,0.666667,0.103448,0.2,0.2,0.2,0.2,0.2,0.2,0.202384,0.124488,0.1249,0.210467,0.109095,0.157988,0.002722,0.005937,0.025668,0.008052,0.023445,0.011349,0
0.494949,0,0.166667,0.666667,0.224138,0.2,0.2,0.2,0.2,0.2,0.1,0.326796,0.206002,0.12148,0.198289,0.091801,0.139439,0.011497,0.004796,0.01116,0.016103,0.009847,0,0
0.232323,1,0.166667,0.666667,0.310345,0.2,0.2,0.2,0.2,0.2,0.2,0.255983,0.184975,0.157092,0.284122,0.213928,0.258976,0.005615,0.003444,0.005469,0.00789,0.011723,0.00854,0
0.383838,1,0.166667,0.333333,0.327586,0.3,0.1,0.2,0.2,0.2,0.2,0.173283,0.281767,0.202739,0.358049,0.285369,0.318307,0.270772,0.022646,0.01691,0.061348,0.054111,0.028477,0
0.212121,0,0.166667,0.666667,0.206897,0,0,0,0,0.1,0.2,0.14938,0.068219,0.08671,0.16114,0.081349,0.143954,0.002413,0.000791,0.001187,0.001138,0.021863,0.002837,0
0.272727,1,0.166667,0.666667,0.12069,0.2,0.1,0.1,0.1,0.1,0.1,0.153041,0.069442,0.087366,0.162368,0.083963,0.140267,0.003915,0.001107,0.002651,0.005399,0.012013,0.017077,1
0.020202,0,0.166667,0.666667,0.12069,0.3,0.4,0.4,0.2,0.2,0.2,0.155418,0.075535,0.090504,0.16555,0.084515,0.137421,0.00229,0,0.000161,0.000206,0.000091,0.003677,0
0.20202,1,0.333333,0.333333,0.206897,0.2,0.2,0.2,0,0,0.1,0.172775,0.095688,0.086345,0.160138,0.080648,0.213908,0.002404,0,0,0,0.204078,0.007566,0
0.040404,0,0.333333,0.666667,0.275862,0.5,0.4,0.5,0.4,0.4,0.4,0.165237,0.088529,0.098884,0.179365,0.096529,0.149373,0.003434,0,0.000064,0.003221,0,0.001892,1
0.686869,1,0.5,0.666667,0.224138,0.2,0.2,0.2,0.2,0.2,0.1,0.492294,0.443262,0.300562,0.499788,0.409525,0.279737,0.016855,0.011351,0.008275,0.032767,0.376694,0.172742,0
0.232323,1,0.5,0.666667,0.241379,0.2,0.2,0.2,0.2,0.2,0.1,0.162523,0.076874,0.090681,0.167741,0.08137,0.157704,0.001297,0.000667,0.002232,0.001172,0.05793,0.00373,0
0.10101,1,0.333333,0.333333,0.206897,0.2,0.2,0.2,0.2,0.2,0.2,0.160328,0.085817,0.098642,0.182091,0.105775,0.163162,0.006467,0.001423,0.001456,0.00377,0.013092,0.002625,0
0.040404,0,0.333333,0.666667,0.034483,0.2,0.2,0.2,0.2,0.2,0.2,0.183936,0.096126,0.100673,0.185711,0.135175,0.161271,0.002061,0.00095,0.001674,0.00161,0.005627,0.002837,0
0.111111,1,0.333333,1,0.37931,0.2,0.2,0.2,0.2,0.2,0.2,0.188011,0.111296,0.112867,0.206551,0.129251,0.174436,0.002125,0.00099,0.001821,0.00268,0.004408,0.002003,0
0.070707,0,0.166667,0.666667,0.241379,0.3,0.1,0.4,0.1,0.1,0.1,0.146519,0.070128,0.088195,0.164865,0.08159,0.132234,0.004713,0,0.0056,0,0,0.014478,1
0.111111,1,0.5,0.333333,0.431034,0.1,0.1,0,0,0,0,0.150891,0.06622,0.086345,0.160138,0.080648,0.135674,0,0,0,0,0,0,1
0.141414,1,0.166667,0.666667,0.137931,0.2,0.2,0.2,0.2,0.2,0.2,0.18122,0.113008,0.11546,0.221373,0.130737,0.135674,0.012821,0.0095,0.013812,0.001786,0,0,0
0.070707,1,0.166667,0.666667,0.068966,0.3,0,0.1,0.1,0,0,0.146519,0.06622,0.086509,0.160138,0.080648,0.135674,0,0.000178,0,0,0,0.000946,0
0.242424,1,0.166667,0.666667,0.12069,0.4,0.4,0.4,0.2,0.2,0.2,0.165459,0.112508,0.102105,0.190297,0.099539,0.144524,0.03286,0,0.004464,0.004831,0.003517,0.001892,1
0.161616,0,0.166667,0.333333,0.241379,0.2,0.2,0.2,0.2,0.2,0.2,0.191831,0.102785,0.10539,0.188908,0.141165,0.156985,0.005724,0.001187,0.003348,0.00161,0.014067,0.016557,0
0.212121,1,0.166667,0.333333,0.37931,0.1,0.1,0.1,0.1,0.1,0.1,0.150067,0.067823,0.093136,0.171531,0.082465,0.13989,0.001933,0.007346,0.013503,0.00295,0.011725,0.019504,1
0.10101,1,0.333333,0.333333,0.655172,0.2,0.2,0.2,0.2,0.2,0.2,0.235716,0.104549,0.107037,0.195698,0.113648,0.163507,0.002191,0.001187,0.002232,0.002093,0.003517,0.009458,0
0.030303,1,0.166667,0.333333,0.103448,0.2,0.2,0.2,0.2,0.2,0.2,0.182672,0.103275,0.10821,0.196731,0.111917,0.164578,0.002316,0.001071,0.00159,0.002082,0.003048,0.002533,0
0.171717,1,0.333333,0.333333,0.448276,0.1,0.1,0,0,0,0,0.157049,0.07026,0.088541,0.163906,0.084614,0.139269,0.004872,0.002375,0.004464,0.006441,0.009378,0.007566,0
0.010101,1,0.166667,0.666667,0.086207,0.4,0.4,0.4,0.4,0.4,0.4,0.146785,0.066505,0.086509,0.16042,0.080946,0.135943,0,0,0,0,0,0,1
0.161616,1,0.166667,0.666667,0.086207,0.1,0.1,0.1,0.1,0.1,0.1,0.149822,0.069762,0.088394,0.163653,0.084851,0.139188,0.004272,0.002216,0.004165,0.006826,0.009167,0.007842,0
0.222222,0,0.166667,0.333333,0.310345,0.1,0.1,0.1,0.1,0.1,0.1,0.147103,0.066847,0.086707,0.160759,0.081303,0.136267,0.000756,0.000392,0.000737,0.001063,0.001547,0.001248,0
0.010101,0,0.333333,0.666667,0.396552,0.3,0.4,0.4,0.4,0.2,0.2,0.162739,0.083059,0.097515,0.178598,0.099573,0.150733,0,0.001905,0,0.000966,0.001062,0.000261,0
0.353535,0,0.166667,0.333333,0.293103,0.3,0,0,0,0,0,0.146519,0.06622,0.086345,0.160138,0.080648,0.135674,0,0,0,0,0,0,1
0.424242,0,0.166667,0.333333,0.327586,0.1,0.1,0.1,0.1,0.1,0.1,0.151928,0.076231,0.103585,0.5535,0.084033,0.139953,0.012123,0.018672,0.466037,0.005498,0.011162,0.028999,0
0.050505,1,0.333333,0.666667,0.051724,0.2,0.2,0.2,0.2,0.2,0.2,0.197776,0.121443,0.118415,0.215473,0.140184,0.187606,0.002404,0.001781,0.00279,0.004026,0.005392,0.009458,0
0.191919,0,0.166667,0.333333,0.224138,0,0,0,0,0,0,0.146932,0.067399,0.088544,0.161024,0.082985,0.138321,0.001422,0.002395,0.001055,0.00381,0.006909,0.002162,0
0.090909,1,0.166667,0.333333,0.155172,0.2,0.2,0.2,0.2,0.2,0.1,0.185204,0.094648,0.099824,0.175523,0.090342,0.18817,0.003434,0.001484,0.002232,0.00161,0.136938,0.010971,0
0.212121,1,0.333333,0.666667,0.258621,0.2,0.2,0.2,0.2,0.2,0.2,0.256615,0.186458,0.144836,0.263647,0.185867,0.232924,0.007212,0.002375,0.006138,0.006079,0.009612,0.009458,0
0.090909,1,0.5,0.333333,0.241379,0.4,0.4,0.4,0.4,0.4,0.4,0.229683,0.158278,0.14273,0.25245,0.18316,0.223095,0.006296,0.004869,0,0.012882,0,0.016267,1
0.161616,0,0.5,0.333333,0.396552,0.2,0.2,0.2,0.2,0.2,0.2,0.287299,0.219904,0.17752,0.320297,0.253036,0.296906,0.006869,0.004156,0.007812,0.011272,0.018756,0.013241,0
0.111111,1,0.166667,0.666667,0.103448,0.2,0.2,0.2,0.4,0.2,0.2,0.156588,0.075292,0.092308,0.169609,0.091595,0.14508,0.001374,0.000891,0,0.001771,0.001289,0.001135,1
0.141414,1,0.333333,1,0.465517,0.2,0.2,0.2,0.2,0.2,0,0.149714,0.071111,0.089726,0.164495,0.080648,0.135674,0.00229,0.000904,0.002232,0,0,0,0
0.353535,1,0.333333,0.333333,0.241379,0.2,0.2,0.2,0.2,0.2,0.2,0.181636,0.096797,0.105309,0.181257,0.096764,0.14985,0.001832,0.001792,0.001004,0.000966,0.000865,0.004674,0
0.080808,1,0.333333,0.333333,0.362069,0.1,0.1,0.1,0.1,0.1,0.1,0.147729,0.0682,0.087985,0.165648,0.083345,0.139755,0.002388,0.001773,0.006535,0.00438,0.010646,0.021539,0
0.222222,1,0.333333,0.333333,0.206897,0.3,0,0,0.1,0.1,0,0.146519,0.06622,0.086345,0.162012,0.080648,0.135674,0,0,0.002221,0,0,0,1
0.414141,1,0.166667,0.666667,0.206897,0.1,0.1,0,0,0.1,0.1,0.169277,0.06622,0.086345,0.160138,0.082277,0.141786,0,0,0,0.002646,0.007971,0.763242,0
0.20202,1,0.333333,0.333333,0.155172,0.1,0.4,0.1,0.1,0.1,0.1,0.147278,0.067198,0.086553,0.160802,0.081347,0.136307,0.00083,0.000226,0.000787,0.001135,0.001653,0.001334,0
0.010101,0,0.5,0.666667,0.637931,0.2,0.2,0,0,0,0,0.157196,0.06622,0.086345,0.160138,0.080648,0.135674,0,0,0,0,0,0,0
0.010101,1,0.166667,0.666667,0.172414,0.1,0.1,0.1,0.1,0.1,0.1,0.146887,0.066615,0.086345,0.16053,0.081061,0.136048,0.000476,0.000247,0.000929,0.00067,0.000975,0.000787,0
0.10101,1,0.333333,0.333333,0.155172,0.3,0.4,0.4,0.4,0.4,0.2,0.207497,0.133015,0.125802,0.228618,0.15098,0.200781,0.003663,0.0019,0.002902,0,0.006213,0.005864,0
0.262626,1,0.5,0.333333,0.241379,0.2,0.2,0.2,0,0.1,0.2,0.199813,0.124728,0.086345,0.160371,0.242519,0.282546,0.003434,0,0.000277,0.26248,0.013891,0.009045,0
0.272727,1,0.166667,0.333333,0.086207,0,0,0,0,0,0,0.150646,0.067718,0.086699,0.163613,0.081203,0.135539,0.001806,0.000384,0.004117,0.000902,0,0.003036,0
0.040404,1,0.333333,0.333333,0.258621,0.2,0.2,0.2,0.2,0.2,0.2,0.185905,0.106615,0.107308,0.189156,0.108662,0.161543,0.003434,0.001781,0.003348,0.003221,0.004689,0.009458,0
0,0,0.5,0.333333,0.37931,0.2,0.2,0.2,0,0,0,0.154308,0.07609,0.086345,0.160138,0.080648,0.135674,0.00229,0,0,0,0,0,0
0.222222,1,0.333333,0.333333,0.396552,0.1,0.1,0.1,0.1,0.1,0.1,0.151501,0.066591,0.089139,0.178407,0.080851,0.135674,0.000446,0.003022,0.021644,0,0.009181,0.007407,1
0.141414,0,0.166667,0.333333,0.396552,0.1,0.1,0.1,0.1,0.1,0.2,0.150789,0.06907,0.089729,0.163312,0.087866,0.139669,0.003455,0.003682,0.003779,0.011754,0.002734,0.000009,0
0.040404,1,0.333333,0.333333,0.103448,0.1,0.4,0.1,0.1,0.2,0.1,0.147209,0.066591,0.086559,0.160873,0.081035,0.136024,0,0.000232,0.00087,0,0.000914,0,1
0.070707,1,0.333333,0.666667,0.37931,0.2,0.2,0.2,0.2,0.2,0.2,0.215079,0.13935,0.129226,0.215245,0.13126,0.152783,0.004157,0.001886,0.002902,0.004831,0.003965,0.001315,0
0.040404,1,0.5,0.333333,0.258621,0.2,0.2,0.4,0.2,0.2,0.2,0.190066,0.112953,0.089151,0.205782,0.128695,0.178127,0.006239,0,0.050839,0.003382,0.004455,0.003783,0
0.292929,0,0.166667,0.666667,0.172414,0.1,0.1,0.1,0.1,0.2,0.1,0.148436,0.068967,0.091233,0.171861,0.10509,0.143169,0.00334,0.005328,0.013902,0.024337,0.019621,0.007248,0
0.040404,1,0.333333,0.666667,0.137931,0.4,0.4,0.4,0.4,0.2,0.2,0.189247,0.112994,0.1138,0.20615,0.126205,0.177849,0.002404,0.001069,0,0.002615,0.003986,0.005675,1
